Manufacturer,Class,Name,Year,Fab,Transistors (mln),Die size,Memory size,Memory speed,GFLOPS,TDP,G/D
Nvidia,Workstation,RTX A6000,2020,8,28300,628,49152,768,40000,300,63.69426752
Nvidia,Desktop,GeForce RTX 3090,2020,8,28000,628,24576,936.2,35580,350,56.65605096
Nvidia,Desktop,GeForce RTX 3070,2020,8,17400,392,8192,448,20310,220,51.81122449
Nvidia,Desktop,GeForce RTX 3080,2020,8,28000,628,10240,760.3,29770,320,47.4044586
AMD Radeon,Datacenter,Radeon Instinct MI60,2018,7,13200,331,32768,1024,14725,300,44.48640483
AMD Radeon,Desktop,Radeon RX 6900 XT,2020,7,26800,536,16384,512,23040,300,42.98507463
AMD Radeon,Workstation,Radeon Pro Vega II Duo,2019,7,26460,662,65536,2048,28180,475,42.56797583
AMD Radeon,Workstation,Radeon Pro Vega II,2019,7,13230,331,32768,825.3,14090,475,42.56797583
AMD Radeon,Desktop,Radeon VII,2019,7,13200,331,16384,1028,13824,300,41.76435045
AMD Radeon,Datacenter,Radeon Instinct MI50,2018,7,13200,331,16384,1024,13400,300,40.48338369
AMD Radeon,Desktop,Radeon RX 5700 XT 50th AE,2019,7,10300,251,8192,448,10138,235,40.39043825
AMD Radeon,Workstation,Radeon Pro VII,2020,7,13230,331,16384,1024,13060,250,39.45619335
AMD Radeon,Desktop,Radeon RX 5700 XT,2019,7,10300,251,8192,448,9754,225,38.86055777
AMD Radeon,Desktop,Radeon RX 6800 XT,2020,7,26800,536,16384,512,20740,300,38.69402985
AMD Radeon,Workstation,Radeon Pro 5300 XT,2020,7,6400,158,8192,224,5398,125,34.16455696
AMD Radeon,Desktop,Radeon RX 5300 XT,2019,7,6400,158,4096,112,5196,100,32.88607595
AMD Radeon,Desktop,Radeon RX 5500,2019,7,6400,158,4096,224,5196,150,32.88607595
AMD Radeon,Desktop,Radeon RX 5500 XT,2019,7,6400,158,8192,224,5196,130,32.88607595
AMD Radeon,Desktop,Radeon RX 5600 XT,2020,7,10300,251,6144,336,8066,160,32.13545817
AMD Radeon,Desktop,Radeon RX 5700,2019,7,10300,251,8192,448,7949,180,31.66932271
AMD Radeon,Datacenter,Radeon Instinct MI100,2020,7,50000,750,32768,1229,23070,300,30.76
AMD Radeon,Desktop,Radeon RX 590,2018,14,5700,232,8192,256,7120,225,30.68965517
AMD Radeon,Workstation,Radeon Pro 5700 XT,2020,7,10300,251,16384,384,7675,130,30.57768924
AMD Radeon,Desktop,Radeon RX 6800,2020,7,26800,536,16384,512,16170,250,30.16791045
AMD Radeon,Desktop,Radeon RX 5300,2020,7,6400,158,3072,168,4632,100,29.3164557
AMD Radeon,Desktop,Radeon RX Vega Liquid,2017,14,12500,486,8192,483.8,13738,345,28.26748971
Nvidia,Workstation,Quadro P5000,2016,16,7200,314,16384,288.5,8873,180,28.25796178
Nvidia,Desktop,GeForce GTX 1080,2017,16,7200,314,8192,352,8872.9,300,28.25764331
AMD Radeon,Workstation,Radeon Vega Frontier Edition,2017,14,12500,484,16384,483.8,13107,350,27.08057851
Nvidia,Workstation,Quadro P6000,2016,16,11800,471,24576,432.8,12630,250,26.81528662
AMD Radeon,Workstation,Radeon Pro 5300,2020,7,6400,158,4096,224,4224,85,26.73417722
AMD Radeon,Desktop,Radeon RX 580,2017,14,5700,232,8192,256,6175,185,26.61637931
Nvidia,Desktop,GeForce GTX 1070 Ti,2017,16,7200,314,8192,320,8186.1,300,26.07038217
AMD Radeon,Desktop,Radeon RX Vega 64,2017,14,12500,486,8192,483.8,12665,295,26.05967078
AMD Radeon,Desktop,Radeon RX 5600,2020,7,10300,251,6144,288,6390,150,25.45816733
AMD Radeon,Workstation,Radeon Pro SSG,2017,14,12500,484,16384,483.84,12290,300,25.39256198
AMD Radeon,Workstation,Radeon Pro WX 9100,2017,14,12500,484,16384,483.84,12288,250,25.38842975
AMD Radeon,Desktop,Radeon RX 480,2016,14,5700,232,8192,256,5834,150,25.14655172
AMD Radeon,Datacenter,Radeon Instinct MI6,2016,14,5700,232,16384,224,5800,150,25
Nvidia,Datacenter,Tesla P40,2016,16,11800,471,24576,694.3,11760,250,24.96815287
AMD Radeon,Workstation,Radeon Pro W5500,2020,7,6400,158,8192,224,3942,125,24.94936709
AMD Radeon,Workstation,Radeon Pro 5700,2020,7,10300,251,8192,384,6221,130,24.78486056
Nvidia,Datacenter,GRID K340,2013,28,1270,118,4096,115.2,2918.4,225,24.73220339
AMD Radeon,Workstation,Radeon Pro WX 7100,2016,14,5700,232,8192,256,5710,130,24.61206897
Nvidia,Datacenter,Tesla M60,2015,28,5200,398,16384,320.8,9650,300,24.24623116
Nvidia,Desktop,GeForce Titan Xp,2017,16,12000,471,12288,547.7,11366.4,250,24.13248408
AMD Radeon,Datacenter,Radeon Instinct MI25,2016,14,12500,510,16384,436.2,12300,300,24.11764706
Nvidia,Desktop,GeForce GTX 1080 Ti,2017,16,12000,471,11264,484,11339.7,250,24.07579618
Nvidia,Datacenter,A100 SXM4,2020,7,54200,826,40960,1555,19490,400,23.59564165
Nvidia,Datacenter,A100 PCIe,2020,7,54200,826,40960,1555,19490,250,23.59564165
Nvidia,Datacenter,A100 SXM4 80 GB,2020,7,54200,826,81920,2039,19490,400,23.59564165
Nvidia,Desktop,GeForce Titan X,2016,16,12000,471,12288,480,10974.2,250,23.29978769
AMD Radeon,Workstation,Radeon Pro V340,2018,14,12500,484,16384,483.8,10750,230,22.2107438
AMD Radeon,Workstation,Radeon Pro WX 8200,2018,14,12500,484,8192,512,10750,230,22.2107438
AMD Radeon,Desktop,Radeon RX 570,2017,14,5700,232,8192,224,5095,150,21.9612069
AMD Radeon,Desktop,Radeon RX Vega 56,2017,14,12500,486,8192,410,10544,210,21.69547325
Nvidia,Desktop,GeForce Titan RTX,2018,12,18600,754,24576,672,16312,250,21.63395225
Nvidia,Workstation,Quadro RTX 6000,2018,12,18600,754,24576,672,16310,260,21.63129973
Nvidia,Workstation,Quadro RTX 8000,2018,12,18600,754,49152,672,16310,260,21.63129973
AMD Radeon,Desktop,Radeon RX 470,2016,14,5700,232,8192,211,4940,120,21.29310345
AMD Radeon,Desktop,Radeon RX 560,2017,14,3000,123,4096,112,2611,80,21.22764228
Nvidia,Desktop,GeForce GTX 1070,2018,16,7200,314,8192,256,6462.7,250,20.58184713
Nvidia,Desktop,GeForce RTX 2080 Super,2019,12,13600,545,8192,496,11150,250,20.4587156
Nvidia,Workstation,Quadro RTX 5000,2018,12,13600,545,16384,448,11150,230,20.4587156
Nvidia,Workstation,Quadro GV100,2018,12,21100,815,32768,868.4,16660,250,20.44171779
Nvidia,Datacenter,Tesla V100S PCIe 32 GB,2019,12,21100,815,32768,1133,16350,250,20.06134969
Nvidia,Datacenter,Tesla V100 SXM2 16 GB,2019,12,21100,815,16384,250,16350,250,20.06134969
Nvidia,Datacenter,Tesla P6,2017,16,7200,314,16384,192.3,6169,90,19.64649682
AMD Radeon,Workstation,Radeon Pro WX 4100,2016,14,3000,123,4096,112,2400,50,19.51219512
AMD Radeon,Datacenter,Radeon Sky 900,2013,28,4313,352,6144,480,6810,300,19.34659091
AMD Radeon,Datacenter,FirePro S10000,2012,28,4313,352,6144,480,6810,375,19.34659091
Nvidia,Datacenter,Tesla V100 SXM3 32 GB,2018,12,21100,815,32768,897,15670,250,19.22699387
Nvidia,Datacenter,Tesla V100 SXM2 16 GB,2017,12,21100,815,16384,897,15670,250,19.22699387
Nvidia,Desktop,GeForce GTX 1660 Ti,2019,12,6600,284,6144,288,5437.44,120,19.14591549
Nvidia,Workstation,Quadro P2200,2019,16,4400,200,5120,200.2,3822,75,19.11
AMD Radeon,Desktop,Radeon RX 470D,2016,14,5700,232,4096,224,4322,120,18.62931034
Nvidia,Desktop,GeForce RTX 2080,2018,12,13600,545,8192,448,10068.48,215,18.47427523
Nvidia,Desktop,GeForce Titan V CEO Edition,2018,12,21100,815,32768,870.4,14899.2,250,18.28122699
Nvidia,Desktop,GeForce Titan V,2017,12,21100,815,12288,652.8,14899.2,250,18.28122699
Nvidia,Datacenter,Tesla P4,2016,16,7200,314,8192,192.3,5704,75,18.1656051
